,Open,High,Low,Close,Volume
2025-01-03,45.46090001772385,46.23596988700389,45.162796513430884,45.63976287841797,4291600
2025-01-06,46.22603373503767,47.229649728677096,45.96270891549526,47.21723175048828,4371200
2025-01-07,47.6221561899067,48.04695644087153,45.88073178401554,47.49049377441406,7040400
2025-01-08,47.41596330431093,47.651965531479135,46.87689191445753,47.42093276977539,3756400
2025-01-10,47.04830528292226,47.0781144963131,45.10069166915807,46.009910583496094,5291600
2025-01-13,45.493201566949125,46.01488181726653,44.99636106726082,45.52549362182617,5305600
2025-01-14,45.81365911848607,46.081953426188825,44.85724349154298,45.3714714050293,3600400
2025-01-15,46.149029276659775,46.54898601668106,45.86334372487767,46.16890335083008,4824000
2025-01-16,46.22852037203511,47.26194945380251,46.22106806827267,46.74275207519531,4147600
2025-01-17,46.951425150376416,47.52527529571963,46.571342488120735,47.22220230102539,5032400
2025-01-21,47.85567354214668,48.40964960047108,47.36380254208351,47.90287399291992,7929600
2025-01-22,51.42298613878152,52.45144570993347,50.28770390067798,52.11359405517578,11788400
2025-01-23,52.1682492004958,52.87376175613187,50.67524495703757,51.808040618896484,9166800
2025-01-24,51.919827064042245,54.81640779946243,51.892500687648024,54.401546478271484,12555200
2025-01-27,52.83898262344551,53.161929683378816,49.984636581844796,50.64543151855469,9715200
2025-01-28,51.07023485410885,51.82543073743851,50.677730408816565,51.60930633544922,7441600
2025-01-29,51.549681974161615,52.68993374193253,51.348462188846746,52.47877502441406,6513200
2025-01-30,52.89363589344875,54.92322875515565,52.89363589344875,54.44626235961914,10483200
2025-01-31,54.702133212700744,54.7145549821658,53.53455890423033,54.01649475097656,7226400
2025-02-03,52.275064129477435,55.88461334812629,52.13843604342238,55.51694869995117,9092400
2025-02-04,55.5268904722771,55.745497695505,54.70710296104488,55.020111083984375,6685600
2025-02-05,55.51694828670919,58.291801618387304,55.198970716475515,57.99369812011719,11281600
2025-02-06,58.37377773138423,58.45327401513606,56.229913975760475,56.69694137573242,6990800
2025-02-07,56.925491794229366,57.626038632851575,56.63732722039813,57.41984939575195,8024000
2025-02-10,57.59374692782599,57.785031571985606,55.82499605056575,56.1901741027832,6965200
2025-02-11,56.19016758919539,56.19016758919539,54.404025682883685,55.01762390136719,5737200
2025-02-12,55.32069825365167,57.253407222014566,54.96048970022311,57.18633270263672,7232400
2025-02-13,57.601192928863824,58.59239093222262,56.72426989006284,58.341487884521484,7685200
2025-02-14,58.18995399536597,58.75883463421847,56.7441464880789,58.16014099121094,6692400
2025-02-18,58.59736653715302,58.751385870632056,57.608651267693745,58.51041793823242,4697200
2025-02-19,58.50295913281017,58.75137934144206,57.14658312581976,57.794960021972656,5576800
2025-02-20,57.68317568087996,57.68317568087996,54.85118662259223,56.14297103881836,9383600
2025-02-21,56.51311570458925,56.62738688000901,53.979226495722436,54.336952209472656,8411600
2025-02-24,54.486008894202136,55.17164735675615,52.34959342374916,53.3134651184082,9196400
2025-02-25,53.00293526403022,53.159441206682125,49.40829458265897,49.91755676269531,11353600
2025-02-26,50.59574603814011,52.13595065271617,50.327451744154594,51.338523864746094,6804400
2025-02-27,52.193083531815326,52.45640832720798,50.3696764529919,50.55350875854492,5276000
2025-02-28,50.36945842646211,51.47629122948084,50.09586233428962,50.83955001831055,31178800
2025-03-03,52.02099493220259,52.63783759400747,49.91180139817961,50.12570571899414,7155600
2025-03-04,48.82238447276766,49.72774621182993,46.26299772040556,48.75771713256836,11927600
2025-03-05,48.67812479466111,49.19049930180898,48.068743588432476,48.921875,8185600
2025-03-06,47.919507068631056,48.39208450672048,46.06898675925292,47.18327713012695,11940400
2025-03-07,46.76293393797467,47.86479115004689,45.345197708384944,47.79763412475586,13196400
2025-03-10,45.82772626932474,46.01427060963407,41.139243664781915,41.577003479003906,19729600
2025-03-11,42.12668232495408,43.1837668443058,41.460099085061294,42.36794662475586,11024400
2025-03-12,44.00456747894722,44.13639184752458,42.37044096882104,42.566932678222656,10930800
2025-03-13,42.681348252410096,42.681348252410096,39.557349056337415,40.05231475830078,13859600
2025-03-14,41.09447606287695,42.139123640521845,40.66666739280022,41.81329345703125,8918000
2025-03-17,41.72872399100611,43.70360723549407,41.72872399100611,43.37777328491211,7474000
2025-03-18,42.658959021251086,43.17382323001892,42.08937863013175,42.952457427978516,6201600
2025-03-19,43.039512070193304,45.00444822706656,42.58683307396732,44.31050109863281,6514800
2025-03-20,43.62401578189349,44.27319024003222,43.397674404074984,43.74091720581055,7316800
2025-03-21,43.06189660983197,43.250926841186505,42.395309528810905,43.119102478027344,14297200
2025-03-24,44.33288515697019,45.240732751503,44.05182380624855,44.75571823120117,7204800
2025-03-25,45.106424896523684,45.69838971382422,44.2731919567637,44.62140655517578,8203600
2025-03-26,44.6686620268006,44.715920532354964,43.086765910384784,43.263362884521484,8208800
2025-03-27,42.907682640032675,43.029559637667866,41.382996200118214,42.0346565246582,13220400
2025-03-28,41.39046288709291,42.039637401970005,40.41296848181605,40.970115661621094,9490800
2025-03-31,39.61952739338703,41.44766337451367,39.1021811164635,41.186500549316406,7049600
2025-04-01,41.139241626397265,43.136509294060644,40.60945830694164,43.04945755004883,8852800
2025-04-02,42.38038407209338,44.168722977179364,42.01973246231586,43.35538864135742,5506800
2025-04-03,40.12942015403746,41.06960338596511,39.50760564639988,39.66679000854492,8550800
2025-04-04,37.674498059090965,37.88094093306671,35.18226442554877,36.333866119384766,11909600
2025-04-07,34.100309800328446,37.480492620725244,32.65272377581586,35.88864517211914,18885600
2025-04-08,38.196823696641445,38.58732123696999,35.84139001960514,36.56766891479492,12812400
2025-04-09,36.27665474871579,43.06189339011539,36.04036223312222,42.46246337890625,18881600
2025-04-10,40.73382709171789,42.584347731053086,39.8210038216395,40.86813735961914,13294400
2025-04-11,40.868131913400774,42.92011957876071,40.55473879989185,42.619163513183594,9916400
2025-04-14,44.00954285416811,44.07172430303062,42.51221250288772,43.027076721191406,6736000
2025-04-15,43.0917401242822,44.09908026286169,43.0917401242822,43.13650894165039,10005600
