,Open,High,Low,Close,Volume
2024-10-31,288.2863209605735,292.48097630462405,285.84848476757736,286.07550048828125,7950200
2024-11-01,284.73318810609584,288.85877779895037,283.4501291393349,286.9538879394531,5470700
2024-11-04,287.75332710401364,289.3324973971034,286.9736364326881,288.0494384765625,4281600
2024-11-05,287.91123111128155,290.9412596126282,287.78291920233966,289.4706726074219,3753700
2024-11-06,302.33104987472535,304.9761431756926,298.8766275410201,303.39697265625,10320500
2024-11-07,303.4956537398405,303.62396566471386,300.4557755666383,301.8177795410156,6237300
2024-11-08,302.8935904900366,307.0980948670595,301.70920524232514,303.8608093261719,6240600
2024-11-11,306.0519767694082,308.3713808840041,305.2722557861663,306.8711853027344,4674100
2024-11-12,305.5954844377105,307.08863363211555,304.67582717504365,306.3964538574219,4616400
2024-11-13,306.04047715221793,307.4842260140989,304.40887375530053,306.0306091308594,4046400
2024-11-14,305.85255473208014,307.8203948710268,304.3989380280527,304.81427001953125,4415800
2024-11-15,304.1319787327947,307.25676145547993,303.242016036872,306.1888122558594,5106300
2024-11-18,306.03066364343107,308.9279997272124,305.259358436001,308.6807861328125,4585600
2024-11-19,306.5447897927535,308.74994543481637,305.07140675020594,308.3741760253906,4885500
2024-11-20,308.3840468732394,308.8092771010547,302.8069250484739,303.9638977050781,6349900
2024-11-21,303.87489579282146,307.45457348962907,303.2321465724953,306.4459228515625,5757100
2024-11-22,304.5374205359529,308.117067809945,304.46819350133364,306.4656982421875,5919200
2024-11-25,308.38405628240383,310.16401194860856,306.40634788268875,309.6992492675781,14189300
2024-11-26,310.69799068028743,310.9946348587816,308.0676349803805,308.3445129394531,7071500
2024-11-27,307.3061935825552,312.84378286256367,306.040461476619,311.1924133300781,5204300
2024-11-29,310.78697271763275,312.72511836119395,310.20355240269356,311.5681457519531,3853300
2024-12-02,313.3679105877697,313.882134119203,310.21346306777417,313.1206970214844,5597500
2024-12-03,313.56568091258237,313.7832300492697,309.2839252171985,309.5212707519531,5009900
2024-12-04,308.9378548491986,309.36305492969035,305.3581771523909,306.4459228515625,5981800
2024-12-05,306.5250331976539,307.6226468652385,305.3878267352857,305.6350402832031,5200100
